Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
YUASA,2023,5,13,07/04/2023,No,Meeting Attendance of the Board of Directors,5.,MASASHI MORIMITSU,N/A,5 / 5,100.00,Yes,
YUASA,2023,5,13,07/04/2023,No,Meeting Attendance of the Board of Directors,6.,RYOJI ABE,N/A,5 / 5,100.00,Yes,
YUASA,2023,5,13,07/04/2023,No,Meeting Attendance of the Board of Directors,7.,AKOM KOWTHAN,N/A,4 / 4,100.00,Yes,
YUASA,2023,5,13,07/04/2023,No,Meeting Attendance of the Board of Directors,8.,SUKTHAE RUENGWATTANACHOT,N/A,5 / 5,100.00,Yes,
YUASA,2023,5,13,07/04/2023,No,Meeting Attendance of the Board of Directors,9.,YOTHIN VIMUKTAYONE,N/A,4 / 5,80.00,No,
YUASA,2023,5,13,07/04/2023,No,Meeting Attendance of the Board of Directors,10.,LAWAN THANADSILLAPAKUL,N/A,5 / 5,100.00,Yes,
YUASA,2023,5,13,07/04/2023,No,Meeting Attendance of the Board of Directors,11.,PRASERT KITISAKKUL,N/A,5 / 5,100.00,Yes,
YUASA,2023,5,13,07/04/2023,No,Meeting Attendance of the Board of Directors,12.,PISIT VATANASOMBOON,N/A,5 / 5,100.00,Yes,
YUASA,2023,5,13,07/04/2023,No,Meeting Attendance of the Board of Directors,13.,PRAPAT PITAKNITINAN,13/02/2023,1 / 1,100.00,No,
YUASA,2023,5,13,07/04/2023,No,Meeting Attendance of Audit Committee,1.,LAWAN THANADSILLAPAKUL,N/A,13 / 13,100.00,,
YUASA,2023,5,13,07/04/2023,No,Meeting Attendance of Audit Committee,2.,PRASERT KITISAKKUL,N/A,13 / 13,100.00,,
YUASA,2023,5,13,07/04/2023,No,Meeting Attendance of Audit Committee,3.,PISIT VATANASOMBOON,N/A,13 / 13,100.00,,
YUASA,2023,5,13,07/04/2023,No,Meeting Attendance of Executive Committee,,No Information,,,,,
YUASA,2023,5,13,07/04/2023,No,Meeting Attendance of Remuneration Committee,1.,PORNCHAK MANUTHAM,N/A,0 / 0,N/A,,
YUASA,2023,5,13,07/04/2023,No,Meeting Attendance of Remuneration Committee,2.,LAWAN THANADSILLAPAKUL,N/A,0 / 0,N/A,,
YUASA,2023,5,13,07/04/2023,No,Meeting Attendance of Remuneration Committee,3.,PRASERT KITISAKKUL,N/A,0 / 0,N/A,,
YUASA,2023,5,13,07/04/2023,No,Meeting Attendance of Remuneration Committee,4.,MASASHI MORIMITSU,N/A,0 / 0,N/A,,
YUASA,2023,5,13,07/04/2023,No,Meeting Attendance of  Corporate Governance Committee,1.,LAWAN THANADSILLAPAKUL,N/A,0 / 0,N/A,,
YUASA,2023,5,13,07/04/2023,No,Meeting Attendance of  Corporate Governance Committee,2.,AKIRA KIYOMIZU,N/A,0 / 0,N/A,,
YUASA,2023,5,13,07/04/2023,No,Meeting Attendance of  Corporate Governance Committee,3.,SUPCHAN MANUTHAM,N/A,0 / 0,N/A,,
YUASA,2023,5,13,07/04/2023,No,Meeting Attendance of  Corporate Governance Committee,4.,YOTHIN VIMUKTAYONE,N/A,0 / 0,N/A,,
YUASA,2023,5,13,07/04/2023,No,Meeting Attendance of  Corporate Governance Committee,5.,MASASHI MORIMITSU,N/A,0 / 0,N/A,,
YUASA,2023,5,13,07/04/2023,No,Meeting Attendance of Nomination Committee,1.,PISIT VATANASOMBOON,N/A,0 / 0,N/A,,
YUASA,2023,5,13,07/04/2023,No,Meeting Attendance of Nomination Committee,2.,AKIRA KIYOMIZU,N/A,0 / 0,N/A,,
YUASA,2023,5,13,07/04/2023,No,Meeting Attendance of Nomination Committee,3.,SUPCHAN MANUTHAM,N/A,0 / 0,N/A,,
YUASA,2024,6,14,09/04/2024,No,Meeting Attendance of the Board of Directors,1.,TSUNENORI YOSHIMURA,N/A,4 / 4,100.00,0 / 0,
YUASA,2024,6,14,09/04/2024,No,Meeting Attendance of the Board of Directors,2.,PORNCHAK MANUTHAM,N/A,6 / 6,100.00,1 / 1,
YUASA,2024,6,14,09/04/2024,No,Meeting Attendance of the Board of Directors,3.,SUPCHAN MANUTHAM,N/A,6 / 6,100.00,1 / 1,
YUASA,2024,6,14,09/04/2024,No,Meeting Attendance of the Board of Directors,4.,RYOJI ABE,N/A,6 / 6,100.00,1 / 1,
YUASA,2024,6,14,09/04/2024,No,Meeting Attendance of the Board of Directors,5.,MASASHI MORIMITSU,N/A,6 / 6,100.00,1 / 1,
YUASA,2024,6,14,09/04/2024,No,Meeting Attendance of the Board of Directors,6.,HIROSHI JINGUSHI,N/A,2 / 2,100.00,0 / 0,
YUASA,2024,6,14,09/04/2024,No,Meeting Attendance of the Board of Directors,7.,AKOM KOWTHAN,N/A,6 / 6,100.00,1 / 1,
YUASA,2024,6,14,09/04/2024,No,Meeting Attendance of the Board of Directors,8.,SUKTHAE RUENGWATTANACHOT,N/A,6 / 6,100.00,1 / 1,
YUASA,2024,6,14,09/04/2024,No,Meeting Attendance of the Board of Directors,9.,YOTHIN VIMUKTAYON,N/A,5 / 6,83.33,0 / 1,
YUASA,2024,6,14,09/04/2024,No,Meeting Attendance of the Board of Directors,10.,LAWAN THANADSILLAPAKUL,N/A,6 / 6,100.00,1 / 1,
YUASA,2024,6,14,09/04/2024,No,Meeting Attendance of the Board of Directors,11.,PRASERT KITISAKKUL,N/A,6 / 6,100.00,1 / 1,
