Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
TPLAS,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
TPLAS,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
TPLAS,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
TPLAS,2022,6,4,08/04/2022,No,Meeting Attendance of the Board of Directors,1.,MONTREE SOCATIYANURAK,N/A,6 / 6,100.00,Yes,
TPLAS,2022,6,4,08/04/2022,No,Meeting Attendance of the Board of Directors,2.,TEERACHAI TEERARUJINON,N/A,6 / 6,100.00,Yes,
TPLAS,2022,6,4,08/04/2022,No,Meeting Attendance of the Board of Directors,3.,PHOONSIN TEERARUJINON,N/A,6 / 6,100.00,Yes,
TPLAS,2022,6,4,08/04/2022,No,Meeting Attendance of the Board of Directors,4.,PHATCHAREE CHATKAEWBORIBOON,N/A,6 / 6,100.00,Yes,
TPLAS,2022,6,4,08/04/2022,No,Meeting Attendance of the Board of Directors,5.,SUPACHAT TANGNOI,N/A,6 / 6,100.00,Yes,
TPLAS,2022,6,4,08/04/2022,No,Meeting Attendance of the Board of Directors,6.,DONNAPA JIAMKANOK,N/A,6 / 6,100.00,Yes,
TPLAS,2022,6,4,08/04/2022,No,Meeting Attendance of the Board of Directors,7.,NUTTAWUT PUNNASATIAN,N/A,6 / 6,100.00,Yes,
TPLAS,2022,6,4,08/04/2022,No,Meeting Attendance of the Board of Directors,8.,VERASAK PROMMAS,N/A,6 / 6,100.00,Yes,
TPLAS,2022,6,4,08/04/2022,No,Meeting Attendance of the Board of Directors,9.,PAIBOON AROONPRASOBSUK,N/A,6 / 6,100.00,Yes,
TPLAS,2022,6,4,08/04/2022,No,Meeting Attendance of the Board of Directors,10.,PITIPONG ACHAMONGKOL,N/A,6 / 6,100.00,Yes,
TPLAS,2022,6,4,08/04/2022,No,Meeting Attendance of Audit Committee,1.,VERASAK PROMMAS,N/A,4 / 4,100.00,,
TPLAS,2022,6,4,08/04/2022,No,Meeting Attendance of Audit Committee,2.,PAIBOON AROONPRASOBSUK,N/A,4 / 4,100.00,,
TPLAS,2022,6,4,08/04/2022,No,Meeting Attendance of Audit Committee,3.,PITIPONG ACHAMONGKOL,N/A,4 / 4,100.00,,
TPLAS,2022,6,4,08/04/2022,No,Meeting Attendance of Executive Committee,1.,TEERACHAI TEERARUJINON,N/A,N/A,N/A,,
TPLAS,2022,6,4,08/04/2022,No,Meeting Attendance of Executive Committee,2.,PHOONSIN TEERARUJINON,N/A,N/A,N/A,,
TPLAS,2022,6,4,08/04/2022,No,Meeting Attendance of Executive Committee,3.,Oranuth Chaiprasat,N/A,N/A,N/A,,
TPLAS,2022,6,4,08/04/2022,No,Meeting Attendance of Executive Committee,4.,NUTTAWUT PUNNASATIAN,N/A,N/A,N/A,,
TPLAS,2022,6,4,08/04/2022,No,Meeting Attendance of Executive Committee,5.,Thitiporn Pratheepratana,N/A,N/A,N/A,,
TPLAS,2022,6,4,08/04/2022,No,Meeting Attendance of Executive Committee,6.,Decha  Putkhuntod,N/A,N/A,N/A,,
TPLAS,2022,6,4,08/04/2022,No,Meeting Attendance of Risk Management Committee,1.,PITIPONG ACHAMONGKOL,N/A,0 / 0,N/A,,
TPLAS,2022,6,4,08/04/2022,No,Meeting Attendance of Risk Management Committee,2.,TEERACHAI TEERARUJINON,N/A,0 / 0,N/A,,
TPLAS,2022,6,4,08/04/2022,No,Meeting Attendance of Risk Management Committee,3.,PHOONSIN TEERARUJINON,N/A,0 / 0,N/A,,
TPLAS,2022,6,4,08/04/2022,No,Meeting Attendance of Risk Management Committee,4.,Thitiporn Pratheepratana,N/A,0 / 0,N/A,,
TPLAS,2022,6,4,08/04/2022,No,Meeting Attendance of Risk Management Committee,5.,Oranuth Chaiprasat,N/A,0 / 0,N/A,,
TPLAS,2022,6,4,08/04/2022,No,Meeting Attendance of Nomination and Compensation Committee,1.,VERASAK PROMMAS,N/A,0 / 0,N/A,,
TPLAS,2022,6,4,08/04/2022,No,Meeting Attendance of Nomination and Compensation Committee,2.,PITIPONG ACHAMONGKOL,N/A,0 / 0,N/A,,
TPLAS,2022,6,4,08/04/2022,No,Meeting Attendance of Nomination and Compensation Committee,3.,TEERACHAI TEERARUJINON,N/A,0 / 0,N/A,,
TPLAS,2022,6,4,08/04/2022,No,Meeting Attendance of Nomination and Compensation Committee,4.,NUTTAWUT PUNNASATIAN,N/A,0 / 0,N/A,,
TPLAS,2023,6,4,07/04/2023,No,Meeting Attendance of the Board of Directors,1.,MONTREE SOCATIYANURAK,N/A,6 / 6,100.00,Yes,
TPLAS,2023,6,4,07/04/2023,No,Meeting Attendance of the Board of Directors,2.,TEERACHAI TEERARUJINON,N/A,6 / 6,100.00,Yes,
TPLAS,2023,6,4,07/04/2023,No,Meeting Attendance of the Board of Directors,3.,PHOONSIN TEERARUJINON,N/A,6 / 6,100.00,Yes,
TPLAS,2023,6,4,07/04/2023,No,Meeting Attendance of the Board of Directors,4.,PHATCHAREE CHATKAEWBORIBOON,N/A,6 / 6,100.00,Yes,
TPLAS,2023,6,4,07/04/2023,No,Meeting Attendance of the Board of Directors,5.,SUPACHAT TANGNOI,N/A,6 / 6,100.00,Yes,
TPLAS,2023,6,4,07/04/2023,No,Meeting Attendance of the Board of Directors,6.,DONNAPA JIAMKANOK,N/A,6 / 6,100.00,Yes,
TPLAS,2023,6,4,07/04/2023,No,Meeting Attendance of the Board of Directors,7.,NUTTAWUT PUNNASATIAN,N/A,6 / 6,100.00,Yes,
TPLAS,2023,6,4,07/04/2023,No,Meeting Attendance of the Board of Directors,8.,VERASAK PROMMAS,N/A,6 / 6,100.00,Yes,
TPLAS,2023,6,4,07/04/2023,No,Meeting Attendance of the Board of Directors,9.,PAIBOON AROONPRASOBSUK,N/A,6 / 6,100.00,Yes,
TPLAS,2023,6,4,07/04/2023,No,Meeting Attendance of the Board of Directors,10.,PITIPONG ACHAMONGKOL,N/A,6 / 6,100.00,Yes,
TPLAS,2023,6,4,07/04/2023,No,Meeting Attendance of Audit Committee,1.,VERASAK PROMMAS,N/A,4 / 4,100.00,,
