Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
ORI,2021,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,,No Information,,,,,
ORI,2021,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,,No Information,,,,,
ORI,2021,N/A,N/A,N/A,No,Meeting Attendance of Executive Committee,,No Information,,,,,
ORI,2022,9,5,29/04/2022,No,Meeting Attendance of the Board of Directors,1.,PEERAPONG JAROON-EK,N/A,9 / 9,100.00,Yes,
ORI,2022,9,5,29/04/2022,No,Meeting Attendance of the Board of Directors,2.,ARADA JAROON-EK,N/A,9 / 9,100.00,Yes,
ORI,2022,9,5,29/04/2022,No,Meeting Attendance of the Board of Directors,3.,SAHAS TREETIPBUT,N/A,9 / 9,100.00,Yes,
ORI,2022,9,5,29/04/2022,No,Meeting Attendance of the Board of Directors,4.,BUREERAT RATANAVANICH,N/A,9 / 9,100.00,Yes,
ORI,2022,9,5,29/04/2022,No,Meeting Attendance of the Board of Directors,5.,LUCKSANANOI PUNKRASAMEE,N/A,9 / 9,100.00,Yes,
ORI,2022,9,5,29/04/2022,No,Meeting Attendance of the Board of Directors,6.,NIWAT LAMUNPANDH,N/A,9 / 9,100.00,Yes,
ORI,2022,9,5,29/04/2022,No,Meeting Attendance of the Board of Directors,7.,MAYTA CHANCHAMCHARAT,N/A,9 / 9,100.00,Yes,
ORI,2022,9,5,29/04/2022,No,Meeting Attendance of the Board of Directors,8.,CHINAPAT VISUTTIPAT,N/A,9 / 9,100.00,Yes,
ORI,2022,9,5,29/04/2022,No,Meeting Attendance of the Board of Directors,9.,CHATCHAI PAYUHANAVEECHAI,N/A,9 / 9,100.00,Yes,
ORI,2022,9,5,29/04/2022,No,Meeting Attendance of Audit Committee,1.,SAHAS TREETIPBUT,N/A,5 / 5,100.00,,
ORI,2022,9,5,29/04/2022,No,Meeting Attendance of Audit Committee,2.,BUREERAT RATANAVANICH,N/A,5 / 5,100.00,,
ORI,2022,9,5,29/04/2022,No,Meeting Attendance of Audit Committee,3.,CHINAPAT VISUTTIPAT,N/A,4 / 5,80.00,,
ORI,2022,9,5,29/04/2022,No,Meeting Attendance of Executive Committee,1.,CHATCHAI PAYUHANAVEECHAI,N/A,N/A,N/A,,
ORI,2022,9,5,29/04/2022,No,Meeting Attendance of Executive Committee,2.,PEERAPONG JAROON-EK,N/A,N/A,N/A,,
ORI,2022,9,5,29/04/2022,No,Meeting Attendance of Executive Committee,3.,ARADA JAROON-EK,N/A,N/A,N/A,,
ORI,2022,9,5,29/04/2022,No,Meeting Attendance of Executive Committee,4.,PITIPONG TRINURUK,N/A,N/A,N/A,,
ORI,2022,9,5,29/04/2022,No,Meeting Attendance of Executive Committee,5.,Kanokpailin Wilaikaew,N/A,N/A,N/A,,
ORI,2022,9,5,29/04/2022,No,Meeting Attendance of Executive Committee,6.,Somsakul Sangsuwan,N/A,N/A,N/A,,
ORI,2022,9,5,29/04/2022,No,Meeting Attendance of Executive Committee,7.,Kriengkrai Kreebongkan,N/A,N/A,N/A,,
ORI,2022,9,5,29/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,1.,BUREERAT RATANAVANICH,N/A,0 / 0,N/A,,
ORI,2022,9,5,29/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,2.,LUCKSANANOI PUNKRASAMEE,N/A,0 / 0,N/A,,
ORI,2022,9,5,29/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,3.,SAHAS TREETIPBUT,N/A,0 / 0,N/A,,
ORI,2022,9,5,29/04/2022,No,Meeting Attendance of Nomination and Remuneration Committee,4.,PEERAPONG JAROON-EK,N/A,0 / 0,N/A,,
ORI,2022,9,5,29/04/2022,No,Meeting Attendance of Risk Management Committee,1.,MAYTA CHANCHAMCHARAT,N/A,0 / 0,N/A,,
ORI,2022,9,5,29/04/2022,No,Meeting Attendance of Risk Management Committee,2.,SAHAS TREETIPBUT,N/A,0 / 0,N/A,,
ORI,2022,9,5,29/04/2022,No,Meeting Attendance of Risk Management Committee,3.,ARADA JAROON-EK,N/A,0 / 0,N/A,,
ORI,2022,9,5,29/04/2022,No,Meeting Attendance of Risk Management Committee,4.,Kriengkrai Kreebongkan,N/A,0 / 0,N/A,,
ORI,2022,9,5,29/04/2022,No,Meeting Attendance of Corporate Governance Committee,1.,CHINAPAT VISUTTIPAT,N/A,0 / 0,N/A,,
ORI,2022,9,5,29/04/2022,No,Meeting Attendance of Corporate Governance Committee,2.,LUCKSANANOI PUNKRASAMEE,N/A,0 / 0,N/A,,
ORI,2022,9,5,29/04/2022,No,Meeting Attendance of Corporate Governance Committee,3.,ARADA JAROON-EK,N/A,0 / 0,N/A,,
ORI,2023,6,5,27/04/2023,No,Meeting Attendance of the Board of Directors,1.,PEERAPONG JAROON-EK,N/A,6 / 6,100.00,Yes,
ORI,2023,6,5,27/04/2023,No,Meeting Attendance of the Board of Directors,2.,ARADA JAROON-EK,N/A,6 / 6,100.00,Yes,
ORI,2023,6,5,27/04/2023,No,Meeting Attendance of the Board of Directors,3.,SAHAS TREETIPBUT,N/A,6 / 6,100.00,Yes,
ORI,2023,6,5,27/04/2023,No,Meeting Attendance of the Board of Directors,4.,BUREERAT RATANAVANICH,N/A,6 / 6,100.00,Yes,
ORI,2023,6,5,27/04/2023,No,Meeting Attendance of the Board of Directors,5.,LUCKSANANOI PUNKRASAMEE,N/A,6 / 6,100.00,Yes,
ORI,2023,6,5,27/04/2023,No,Meeting Attendance of the Board of Directors,6.,NIWAT LAMUNPANDH,N/A,6 / 6,100.00,Yes,
ORI,2023,6,5,27/04/2023,No,Meeting Attendance of the Board of Directors,7.,MAYTA CHANCHAMCHARAT,N/A,6 / 6,100.00,Yes,
