Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
CEYE,2024,5,4,10/04/2024,No,Meeting Attendance of the Board of Directors,3.,DHAJJAI SUBHAPHOLSIRI,N/A,5 / 5,100.00,1 / 1,
CEYE,2024,5,4,10/04/2024,No,Meeting Attendance of the Board of Directors,4.,ZANITA KAJIJI,N/A,5 / 5,100.00,1 / 1,
CEYE,2024,5,4,10/04/2024,No,Meeting Attendance of the Board of Directors,5.,SUWANEE SUWANSAENGROJ,N/A,5 / 5,100.00,1 / 1,
CEYE,2024,5,4,10/04/2024,No,Meeting Attendance of the Board of Directors,6.,KEERATI SUWANSAENGROJ,N/A,5 / 5,100.00,1 / 1,
CEYE,2024,5,4,10/04/2024,No,Meeting Attendance of the Board of Directors,7.,TITAYA ATTHAKORN,N/A,5 / 5,100.00,1 / 1,
CEYE,2024,5,4,10/04/2024,No,Meeting Attendance of Audit Committee,1.,TITAYA ATTHAKORN,N/A,4 / 4,100.00,,
CEYE,2024,5,4,10/04/2024,No,Meeting Attendance of Audit Committee,2.,DHAJJAI SUBHAPHOLSIRI,N/A,4 / 4,100.00,,
CEYE,2024,5,4,10/04/2024,No,Meeting Attendance of Audit Committee,3.,ZANITA KAJIJI,N/A,4 / 4,100.00,,
CEYE,2024,5,4,10/04/2024,No,Meeting Attendance of Executive Committee,,No Information,,,,,
CEYE,2024,5,4,10/04/2024,No,Meeting Attendance of Nomination Committee,1.,DHAJJAI SUBHAPHOLSIRI,N/A,1 / 1,100.00,,
CEYE,2024,5,4,10/04/2024,No,Meeting Attendance of Nomination Committee,2.,TITAYA ATTHAKORN,N/A,1 / 1,100.00,,
CEYE,2024,5,4,10/04/2024,No,Meeting Attendance of Nomination Committee,3.,ZANITA KAJIJI,N/A,1 / 1,100.00,,
CEYE,2024,5,4,10/04/2024,No,Meeting Attendance of Corporate Governance and Corporate Social Responsibility Committee,1.,ZANITA KAJIJI,N/A,1 / 1,100.00,,
CEYE,2024,5,4,10/04/2024,No,Meeting Attendance of Corporate Governance and Corporate Social Responsibility Committee,2.,DHAJJAI SUBHAPHOLSIRI,N/A,1 / 1,100.00,,
CEYE,2024,5,4,10/04/2024,No,Meeting Attendance of Corporate Governance and Corporate Social Responsibility Committee,3.,KEERATI SUWANSAENGROJ,N/A,1 / 1,100.00,,
CEYE,2024,5,4,10/04/2024,No,Meeting Attendance of Audit Committee,1.,TITAYA ATTHAKORN,N/A,4 / 4,100.00,,
CEYE,2024,5,4,10/04/2024,No,Meeting Attendance of Audit Committee,2.,DHAJJAI SUBHAPHOLSIRI,N/A,4 / 4,100.00,,
CEYE,2024,5,4,10/04/2024,No,Meeting Attendance of Audit Committee,3.,ZANITA KAJIJI,N/A,4 / 4,100.00,,
CEYE,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,1.,APICHART CHINWANNO,N/A,6 / 6,100.00,1 / 1,
CEYE,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,2.,CHAMNI THIPMANEE,N/A,5 / 6,83.33,1 / 1,
CEYE,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,3.,DHAJJAI SUBHAPHOLSIRI,N/A,6 / 6,100.00,1 / 1,
CEYE,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,4.,ZANITA KAJIJI,N/A,5 / 6,83.33,1 / 1,
CEYE,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,5.,SUWANEE SUWANSAENGROJ,N/A,6 / 6,100.00,1 / 1,
CEYE,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,6.,KEERATI SUWANSAENGROJ,N/A,6 / 6,100.00,1 / 1,
CEYE,2025,N/A,N/A,N/A,No,Meeting Attendance of the Board of Directors,7.,TITAYA ATTHAKORN,N/A,6 / 6,100.00,1 / 1,
CEYE,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,1.,TITAYA ATTHAKORN,N/A,4 / 4,100.00,,
CEYE,2025,N/A,N/A,N/A,No,Meeting Attendance of Audit Committee,2.,DHAJJAI SUBHAPHOLSIRI,N/A,4 / 4,100.00,,
