Symbol,Year,Board Meeting Count,Audit Committee Meeting Count,AGM Date,EGM,Section,No,Name,Termination Date,Number of Board Meeting,%,AGM Meetings,EGM Meetings
LPH,2023,6,4,22/04/2024,No,Meeting Attendance of Risk Management Committee,4.,Sawanan Watcharawanich,N/A,0 / 0,N/A,,
LPH,2023,6,4,22/04/2024,No,Meeting Attendance of Risk Management Committee,5.,Vitavas Pirmphol,N/A,0 / 0,N/A,,
LPH,2023,6,4,22/04/2024,No,Meeting Attendance of Risk Management Committee,6.,Chomsri Chaiwachirasak,N/A,0 / 0,N/A,,
LPH,2023,6,4,22/04/2024,No,Meeting Attendance of Risk Management Committee,7.,Surachit Chantawong,N/A,0 / 0,N/A,,
LPH,2024,6,4,22/04/2024,No,Meeting Attendance of the Board of Directors,1.,SOMSAK LOLEKHA,N/A,6 / 6,100.00,1 / 1,
LPH,2024,6,4,22/04/2024,No,Meeting Attendance of the Board of Directors,2.,PIPAT SAVETVILAS,N/A,6 / 6,100.00,0 / 1,
LPH,2024,6,4,22/04/2024,No,Meeting Attendance of the Board of Directors,3.,UNGOON CHANTANAVANICH,N/A,6 / 6,100.00,1 / 1,
LPH,2024,6,4,22/04/2024,No,Meeting Attendance of the Board of Directors,4.,VIRAT VONGSAENGNAK,N/A,6 / 6,100.00,1 / 1,
LPH,2024,6,4,22/04/2024,No,Meeting Attendance of the Board of Directors,5.,PIBOON LIMPRAPAT,N/A,6 / 6,100.00,1 / 1,
LPH,2024,6,4,22/04/2024,No,Meeting Attendance of the Board of Directors,6.,KULTHON NAKAPROM,N/A,6 / 6,100.00,1 / 1,
LPH,2024,6,4,22/04/2024,No,Meeting Attendance of the Board of Directors,7.,BENJAWAN THANAPAISALPIPATH,N/A,6 / 6,100.00,1 / 1,
LPH,2024,6,4,22/04/2024,No,Meeting Attendance of the Board of Directors,8.,SOMCHAO TANTERDTHAM,N/A,6 / 6,100.00,1 / 1,
LPH,2024,6,4,22/04/2024,No,Meeting Attendance of the Board of Directors,9.,THIPAWAN UTHAISANG,N/A,6 / 6,100.00,1 / 1,
LPH,2024,6,4,22/04/2024,No,Meeting Attendance of Audit Committee,1.,PIBOON LIMPRAPAT,N/A,4 / 4,100.00,,
LPH,2024,6,4,22/04/2024,No,Meeting Attendance of Audit Committee,2.,KULTHON NAKAPROM,N/A,4 / 4,100.00,,
LPH,2024,6,4,22/04/2024,No,Meeting Attendance of Audit Committee,3.,THIPAWAN UTHAISANG,N/A,4 / 4,100.00,,
LPH,2024,6,4,22/04/2024,No,Meeting Attendance of Audit Committee,4.,BENJAWAN THANAPAISALPIPATH,N/A,4 / 4,100.00,,
LPH,2024,6,4,22/04/2024,No,Meeting Attendance of Executive Committee,1.,VIRAT VONGSAENGNAK,N/A,12 / 12,100.00,,
LPH,2024,6,4,22/04/2024,No,Meeting Attendance of Executive Committee,2.,UNGOON CHANTANAVANICH,N/A,12 / 12,100.00,,
LPH,2024,6,4,22/04/2024,No,Meeting Attendance of Executive Committee,3.,Jirawan Menghong,N/A,12 / 12,100.00,,
LPH,2024,6,4,22/04/2024,No,Meeting Attendance of Executive Committee,4.,Pramote Phunapanon,N/A,12 / 12,100.00,,
LPH,2024,6,4,22/04/2024,No,Meeting Attendance of Executive Committee,5.,Sawanan Watcharawanich,N/A,12 / 12,100.00,,
LPH,2024,6,4,22/04/2024,No,Meeting Attendance of Executive Committee,6.,Reungrit Hassakul,N/A,12 / 12,100.00,,
LPH,2024,6,4,22/04/2024,No,Meeting Attendance of Executive Committee,7.,Patarahathai Phupanit,N/A,12 / 12,100.00,,
LPH,2024,6,4,22/04/2024,No,Meeting Attendance of Executive Committee,8.,Ekkachai Sirichutimanggoon,N/A,12 / 12,100.00,,
LPH,2024,6,4,22/04/2024,No,Meeting Attendance of Executive Committee,9.,Chomsri Chaiwachirasak,N/A,12 / 12,100.00,,
LPH,2024,6,4,22/04/2024,No,Meeting Attendance of Executive Committee,10.,Surachit Chantawong,N/A,12 / 12,100.00,,
LPH,2024,6,4,22/04/2024,No,Meeting Attendance of Executive Committee,11.,Pleonpit Mahasiriphan,N/A,12 / 12,100.00,,
LPH,2024,6,4,22/04/2024,No,Meeting Attendance of Executive Committee,12.,Nuttawut Tantredtham,N/A,12 / 12,100.00,,
LPH,2024,6,4,22/04/2024,No,Meeting Attendance of Member of the Nomination and Remuneration Committee,1.,PIBOON LIMPRAPAT,N/A,1 / 1,100.00,,
LPH,2024,6,4,22/04/2024,No,Meeting Attendance of Member of the Nomination and Remuneration Committee,2.,KULTHON NAKAPROM,N/A,1 / 1,100.00,,
LPH,2024,6,4,22/04/2024,No,Meeting Attendance of Member of the Nomination and Remuneration Committee,3.,VIRAT VONGSAENGNAK,N/A,1 / 1,100.00,,
LPH,2024,6,4,22/04/2024,No,Meeting Attendance of Member of the Nomination and Remuneration Committee,4.,UNGOON CHANTANAVANICH,N/A,1 / 1,100.00,,
LPH,2024,6,4,22/04/2024,No,Meeting Attendance of Risk Management Committee,1.,UNGOON CHANTANAVANICH,N/A,4 / 4,100.00,,
LPH,2024,6,4,22/04/2024,No,Meeting Attendance of Risk Management Committee,2.,Pramote Phunapanon,N/A,4 / 4,100.00,,
LPH,2024,6,4,22/04/2024,No,Meeting Attendance of Risk Management Committee,3.,Reungrit Hassakul,N/A,4 / 4,100.00,,
LPH,2024,6,4,22/04/2024,No,Meeting Attendance of Risk Management Committee,4.,Sawanan Watcharawanich,N/A,4 / 4,100.00,,
LPH,2024,6,4,22/04/2024,No,Meeting Attendance of Risk Management Committee,5.,Vitavas Pirmphol,N/A,4 / 4,100.00,,
LPH,2024,6,4,22/04/2024,No,Meeting Attendance of Risk Management Committee,6.,Chomsri Chaiwachirasak,N/A,4 / 4,100.00,,
LPH,2024,6,4,22/04/2024,No,Meeting Attendance of Risk Management Committee,7.,Surachit Chantawong,N/A,4 / 4,100.00,,
LPH,2025,N/A,N/A,N/A,N/A,Meeting Attendance of the Board of Directors,,No Information,,,,,
LPH,2025,N/A,N/A,N/A,N/A,Meeting Attendance of Audit Committee,,No Information,,,,,
LPH,2025,N/A,N/A,N/A,N/A,Meeting Attendance of Executive Committee,,No Information,,,,,
LPH,2026,N/A,N/A,N/A,N/A,Meeting Attendance of the Board of Directors,,No Information,,,,,
LPH,2026,N/A,N/A,N/A,N/A,Meeting Attendance of Audit Committee,,No Information,,,,,
LPH,2026,N/A,N/A,N/A,N/A,Meeting Attendance of Executive Committee,,No Information,,,,,
